REGISTRO DO COMPLEXO,REGISTRO DO GRUPO,NOME DO GRUPO,REGISTRO DA EMPRESA,NOME DA EMPRESA,NOME DO COMPLEXO,TOTAL SALAS DO COMPLEXO,Nº DE DIAS OBRIGAÇÃO PROPORCIONAL,OBRIGAÇÃO_TOTAL+INCREMENTO,OBRIGAÇÃO_PROP+INCREMENTO,OBRIGAÇÃO_TOTAL,OBG_FINAL,Nº DE DIAS VALIDADOS,Nº DE TÍTULOS DIFERENTES OBRIGAÇÃO,Nº DE TÍTULOS DIFERENTES DECLARADOS,CUMPRIU COTA,ANO,TRANSFERÊNCIA Dias Origem,TRANSFERÊNCIA Dias Recebidos,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL+INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP+INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,CUMPRIMENTO_PROPORCIONAL,DIAS_FUNC_INFERIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_LINEAR,CUMPRIMENTO_NORMALIZADO,CUMPRIMENTO_TRIWEIGHT
2537,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,724 CINEMARK EXTRA ANCHIETA,9,530.581048,531.0,530.58,531,707.58,735.43,14,21,SIM,2018,0.0,177.0,59.0,59.0,58.95344977777778,58.95333333333334,78.62,1.039359507052206,364.7120198116761,0.9984508292046074,0.9606404929477941,0.3986333851848165,0.9953596836863803
2538,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,725 CINEMARK CAMPINAS,11,581.454818,583.0,581.45,583,581.45,616.87,17,48,SIM,2018,0.0,0.0,53.0,53.0,52.85952890909091,52.85909090909092,52.85909090909092,1.0609166738326596,364.0326047512865,0.9962891588491654,0.9390833261673404,0.3982027609579226,0.9889087364740843
2539,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,726 CINEMARK RIBEIRÃO PRETO,9,515.704309,531.0,515.7,531,515.7,591.57,14,38,SIM,2018,0.0,0.0,59.0,59.0,57.300478777777776,57.300000000000004,57.300000000000004,1.1471204188481676,354.4860127777777,0.9783555823579397,0.8528795811518324,0.3946481217869877,0.9364620495245924
2540,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,727 CINEMARK VILLA LOBOS,7,407.956354,441.0,407.96,441,355.96,376.68,11,22,SIM,2018,52.0,0.0,63.0,63.0,58.27947914285714,58.279999999999994,50.85142857142857,1.058208787504214,337.6509505895691,0.9966117370572892,0.9417912124957859,0.39826699190420917,0.9898696132508121
2541,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,728 CINEMARK BOTAFOGO,6,378.0,378.0,378.0,378,340.0,359.29,9,18,SIM,2018,38.0,0.0,63.0,63.0,63.0,63.0,56.666666666666664,1.056735294117647,365.0,0.9967811064013841,0.9432647058823529,0.3983007204419308,0.9903743696803048
15415,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,755 CINEMARK RIOMAR,5,259.97815,280.0,259.98,280,259.98,273.8,8,15,SIM,2018,0.0,0.0,56.0,56.0,51.995630000000006,51.996,51.996,1.0531579352257865,338.9000883928572,0.9971742339225311,0.9468420647742135,0.39837901962451877,0.9915466340657552
16978,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,757 CINEMARK UNIÃO OSASCO,10,558.49019,560.0,558.49,560,558.49,739.1,15,27,SIM,2018,0.0,0.0,56.0,56.0,55.849019,55.849000000000004,55.849000000000004,1.323389854787015,364.01592741071426,0.8954190018208332,0.6766101452129849,0.3786174189964353,0.7179247392595418
25602,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,758 CINEMARK TUCURUVI,6,378.0,378.0,378.0,378,350.0,368.92,9,20,SIM,2018,28.0,0.0,63.0,63.0,63.0,63.0,58.333333333333336,1.0540571428571428,365.0,0.9970778253061224,0.9459428571428572,0.39835981650231495,0.9912590682804355
24764,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,759 CINEMARK GUARULHOS,15,674.999676,675.0,675.0,675,996.0,1032.3,23,32,SIM,2018,0.0,321.0,45.0,45.0,44.9999784,45.0,66.4,1.03644578313253,364.9998248,0.9986717048918566,0.96355421686747,0.3986774118273321,0.9960204054356516
27429,6000018.0,CINEMARK,1843,CINEMARK BRASIL S.A,767 - CINEMARK DIAMOND,6,378.0,378.0,378.0,378,279.0,298.13,9,17,SIM,2018,99.0,0.0,63.0,63.0,63.0,63.0,46.5,1.0685663082437276,365.0,0.9952986613738262,0.9314336917562724,0.39800560036901783,0.9859621879643763
