ANO_CINEMATOGRAFICO,G_QTDE_TIT_DIF_EXIB,G_QTDE_DIF_TIT_EXIB_BR,G_QTDE_DIF_TIT_EXIB_EST,PUBLICO,RENDA,QTDE_SESSOES,DIAS_FUNCIONAMENTO_GRUPO,REG_EMPRESA,REGISTRO_COMPLEXO,REGISTRO_SALA,SALAS_GRUPO_INFERIDO,ASSENTOS_GRUPO_INFERIDO,CAPACIDADE_TOTAL_GRUPO,OCUPAÇÃO_MÉDIA,OBRIGAÇÃO_TOTAL_POR_SALA,OBRIGAÇÃO_TOTAL_INCREMENTO_POR_SALA,OBRIGAÇÃO_PROP_POR_SALA,OBRIGAÇÃO_PROP_INCREMENTO_POR_SALA,OBRIGAÇÃO_FINAL_POR_SALA,TRANSF_ORIGEM,TRANSF_RECEBIDOS,CUMPRIMENTO_PROP_TRUNCADO,CUMPRIMENTO_PROPORCIONAL,CUMPRIMENTO_LINEAR,CUMPRIMENTO_TRIWEIGHT,CUMPRIMENTO_NORMALIZADO,DIAS_FUNCIONAMENTO,QTDE_DIF_TIT_EXIB,QTDE_DIF_TIT_EXIB_BR,QTDE_DIF_TIT_EXIB_EST,REGISTRO_GRUPO
2017,39,39,0,4860,38552.8571178441,731,1.0,1,1,1,1.0,83.0,60673.0,0.08010152786247565,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,8.660714285714286,0.0,0.0,7.199280460874998e-14,,,,,48adf2c8980940e5bf04b541baf7b07d
2017,5,5,0,2801,24643.651088018454,135,2.0,1,2,3,3.0,580.0,78300.0,0.11805681588813757,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.5958673469387756,0.3642857142857143,0.3642857142857143,0.3642857142857143,0.3259520938692066,,,,,1e1169f610824ef2b22892ce60810377
2017,5,5,0,595,5590.682835716076,54,1.0,1,1,1,1.0,164.0,8856.0,0.06718608852755191,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9971301020408164,1.0535714285714286,0.9464285714285714,0.9464285714285714,0.3983702291136187,,,,,920429dc1d47470fb68889dbd3825d77
2017,8,8,0,3388,46184.82195906972,438,1.0,1,1,3,3.0,581.0,254478.0,0.04051208871190226,42.0,42.16666666666666,38.893156,39.05982266666667,39.06,0.0,0.0,0.5883788748859856,0.35842293906810035,0.3584229390681004,0.3584229390681004,0.3247339342581589,,,,,9c3c85ebe6b8449aa07145dbbaed088b
2017,9,9,0,3012,37752.78321254404,221,1.0,1,1,2,2.0,276.0,60996.0,0.09975804424333838,35.0,35.0,34.999998,34.999998,35.0,0.0,0.0,0.91,0.7,0.7,0.7,0.3813878154605241,,,,,4bf2f62f3c51456c9cf2c93fa7f5e0c8
2017,7,7,0,2059,21739.729177899175,115,1.0,1,1,1,1.0,120.0,13800.0,0.14920289855072463,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9971301020408164,0.9464285714285714,0.9464285714285714,0.9464285714285714,0.3983702291136187,,,,,119e047a4a6346a9bb3269f06ddd999d
2017,4,4,0,1715,26165.43831980812,31,1.0,1,1,1,1.0,950.0,29450.0,0.05823429541595925,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9948979591836736,1.0714285714285714,0.9285714285714286,0.9285714285714286,0.3979258674986881,,,,,24e6ee212f4c4c44a93746fb2d7e793d
2017,6,6,0,1706,15533.737048750005,57,1.0,1,1,1,1.0,401.0,22857.0,0.07463796648729053,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9987244897959184,1.0357142857142858,0.9642857142857142,0.9642857142857142,0.3986879340406525,,,,,84deafa0e8654aa0b3421ccd8098e3ac
2017,6,6,0,523,6067.743877063311,63,1.0,1,1,1,1.0,100.0,6300.0,0.08301587301587303,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9681122448979592,1.1785714285714286,0.8214285714285714,0.8214285714285714,0.3926320321210658,,,,,fc289964f8774cd7934098764406780d
2017,10,10,0,2767,31933.976605966804,98,1.0,1,1,1,1.0,300.0,29400.0,0.09411564625850341,28.0,28.0,28.0,28.0,28.0,0.0,0.0,0.9614158163265306,1.1964285714285714,0.8035714285714286,0.8035714285714286,0.3913196142962197,,,,,615d34eb15734ab1b6d1a2604500af3f
